Session_ID,id,Round,SumPayoff,ChoiceSelf,ExperienceSelf,Payoff,Optimal,PayoffBetter,Hard,MouseTracking
27bsrtna,qdczif8y,26,1442,1,16,15,4,15,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""14""  ""mouseover"",""PayoffSelf"",""info"",""1370""  ""mouseout"",""PayoffSelf"","""",""3306""  ""mouseover"",""ExpSelf"",""info"",""3323""  ""mouseout"",""ExpSelf"","""",""3605""  ""mouseover"",""CropSelf"",""info"",""3623""  ""mouseout"",""CropSelf"","""",""5142""  ""mouseover"",""ExpSelf"",""info"",""5142""  ""mouseout"",""ExpSelf"","""",""5191""  ""mouseover"",""PayoffSelf"",""info"",""5191""  ""mouseout"",""PayoffSelf"","""",""5207"""
27bsrtna,qdczif8y,27,1442,2,17,16,4,15,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""13""  ""mouseover"",""PayoffSelf"",""info"",""356""  ""mouseout"",""PayoffSelf"","""",""756""  ""mouseover"",""ExpSelf"",""info"",""756""  ""mouseout"",""ExpSelf"","""",""1039"""
27bsrtna,qdczif8y,28,1442,1,18,13,4,15,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""15""  ""mouseover"",""PayoffSelf"",""info"",""868""  ""mouseout"",""PayoffSelf"","""",""934""  ""mouseover"",""ExpSelf"",""info"",""950""  ""mouseout"",""ExpSelf"","""",""1235""  ""mouseover"",""PayoffSelf"",""info"",""1235""  ""mouseout"",""PayoffSelf"","""",""1551""  ""mouseover"",""ExpSelf"",""info"",""1569""  ""mouseout"",""ExpSelf"","""",""1635""  ""mouseover"",""CropSelf"",""info"",""1635""  ""mouseout"",""CropSelf"","""",""1985""  ""mouseover"",""ExpSelf"",""info"",""2002""  ""mouseout"",""ExpSelf"","""",""2035""  ""mouseover"",""PayoffSelf"",""info"",""2035""  ""mouseout"",""PayoffSelf"","""",""2068"""
27bsrtna,qdczif8y,29,1442,2,19,12,4,15,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""15""  ""mouseover"",""PayoffSelf"",""info"",""176""  ""mouseout"",""PayoffSelf"","""",""533"""
27bsrtna,qdczif8y,30,1442,3,20,7,4,15,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""58""  ""mouseover"",""PayoffSelf"",""info"",""243""  ""mouseout"",""PayoffSelf"","""",""548""  ""mouseover"",""PayoffSelf"",""info"",""1665""  ""mouseout"",""PayoffSelf"","""",""1916"""
27bsrtna,qdczif8y,31,1442,2,1,13,2,15,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""14""  ""mouseover"",""PayoffSelf"",""info"",""1372""  ""mouseout"",""PayoffSelf"","""",""2490""  ""mouseover"",""ExpSelf"",""info"",""2490""  ""mouseout"",""ExpSelf"","""",""2690""  ""mouseover"",""CropSelf"",""info"",""2691""  ""mouseout"",""CropSelf"","""",""3141""  ""mouseover"",""ExpSelf"",""info"",""3141""  ""mouseout"",""ExpSelf"","""",""3157""  ""mouseover"",""ExpSelf"",""info"",""4524""  ""mouseout"",""ExpSelf"","""",""4558""  ""mouseover"",""CropSelf"",""info"",""4575""  ""mouseout"",""CropSelf"","""",""5642""  ""mouseover"",""ExpSelf"",""info"",""5642""  ""mouseout"",""ExpSelf"","""",""5675"""
27bsrtna,qdczif8y,32,1442,1,2,10,2,15,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""14""  ""mouseover"",""PayoffSelf"",""info"",""136""  ""mouseout"",""PayoffSelf"","""",""396""  ""mouseover"",""ExpSelf"",""info"",""396""  ""mouseout"",""ExpSelf"","""",""430""  ""mouseover"",""CropSelf"",""info"",""430""  ""mouseout"",""CropSelf"","""",""897""  ""mouseover"",""ExpSelf"",""info"",""897""  ""mouseout"",""ExpSelf"","""",""948""  ""mouseover"",""PayoffSelf"",""info"",""948""  ""mouseout"",""PayoffSelf"","""",""1465"""
27bsrtna,qdczif8y,33,1442,2,3,14,2,15,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""14""  ""mouseover"",""PayoffSelf"",""info"",""435""  ""mouseout"",""PayoffSelf"","""",""951""  ""mouseover"",""ExpSelf"",""info"",""969""  ""mouseout"",""ExpSelf"","""",""1302"""
27bsrtna,qdczif8y,34,1442,3,4,12,2,15,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""14"""
27bsrtna,qdczif8y,35,1442,3,5,15,2,15,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""13""  ""mouseover"",""PayoffSelf"",""info"",""1442""  ""mouseout"",""PayoffSelf"","""",""1793"""
27bsrtna,qdczif8y,36,1442,3,6,20,2,15,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""14""  ""mouseover"",""PayoffSelf"",""info"",""234""  ""mouseout"",""PayoffSelf"","""",""392""  ""mouseover"",""PayoffSelf"",""info"",""1225""  ""mouseout"",""PayoffSelf"","""",""1543"""
27bsrtna,qdczif8y,37,1442,3,7,17,2,15,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""14""  ""mouseover"",""PayoffSelf"",""info"",""21""  ""mouseout"",""PayoffSelf"","""",""489"""
27bsrtna,qdczif8y,38,1442,3,8,14,2,15,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""27""  ""mouseover"",""PayoffSelf"",""info"",""301""  ""mouseout"",""PayoffSelf"","""",""1003"""
27bsrtna,qdczif8y,39,1442,3,9,9,2,15,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""15""  ""mouseover"",""PayoffSelf"",""info"",""506""  ""mouseout"",""PayoffSelf"","""",""1189""  ""mouseover"",""ExpSelf"",""info"",""1206""  ""mouseout"",""ExpSelf"","""",""1523""  ""mouseover"",""CropSelf"",""info"",""1539""  ""mouseout"",""CropSelf"","""",""1673""  ""mouseover"",""ExpSelf"",""info"",""1673""  ""mouseout"",""ExpSelf"","""",""1724""  ""mouseover"",""PayoffSelf"",""info"",""1724""  ""mouseout"",""PayoffSelf"","""",""1740"""
27bsrtna,qdczif8y,40,1442,3,10,18,2,15,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""17""  ""mouseover"",""PayoffSelf"",""info"",""309""  ""mouseout"",""PayoffSelf"","""",""525""  ""mouseover"",""PayoffSelf"",""info"",""1259""  ""mouseout"",""PayoffSelf"","""",""1626""  ""mouseover"",""ExpSelf"",""info"",""1626""  ""mouseout"",""ExpSelf"","""",""1676""  ""mouseover"",""CropSelf"",""info"",""1676""  ""mouseout"",""CropSelf"","""",""2077""  ""mouseover"",""ExpSelf"",""info"",""2077""  ""mouseout"",""ExpSelf"","""",""2110"""
27bsrtna,qdczif8y,41,1442,3,11,12,2,15,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""12""  ""mouseover"",""PayoffSelf"",""info"",""703""  ""mouseout"",""PayoffSelf"","""",""769""  ""mouseover"",""ExpSelf"",""info"",""802""  ""mouseout"",""ExpSelf"","""",""1053""  ""mouseover"",""CropSelf"",""info"",""1053""  ""mouseout"",""CropSelf"","""",""1292""  ""mouseover"",""ExpSelf"",""info"",""1303""  ""mouseout"",""ExpSelf"","""",""1370""  ""mouseover"",""PayoffSelf"",""info"",""1370""  ""mouseout"",""PayoffSelf"","""",""1921"""
