"Session_ID","id","ID_In_Session","Round","SumPayoff","ChoiceSelf","ExperienceSelf","Choice1","Choice2","Choice3","Experience1","Experience2","Experience3","Payoff","group_id","Optimal","PayoffBetter","Hard","Correct","n1","n2","n3","n4","ChoiceSelf_ms","Payoff_ms","ExperienceSelf_ms","Choice1_ms","Choice2_ms","Choice3_ms","Experience1_ms","Experience2_ms","Experience3_ms","Prop_Choice","Dur_Choice","Prop_Exp","Dur_Exp","n1_obs","n2_obs","n3_obs","n4_obs","Choice1_obs","Choice2_obs","Choice3_obs","Experience1_obs","Experience2_obs","Experience3_obs","Phase","TempChange","TimeSinceChange","ExpStable"
"0rcwbtsy","218jeqxc",1,59,1416,4,4,4,1,2,9,14,19,14,2,4,13,1,1,1,1,0,1,349,1018,0,350,368,451,33,0,17,1,1169,0.666666666666667,50,1,1,0,1,4,1,2,9,0,19,3,0,9,4
"0rcwbtsy","218jeqxc",1,60,1416,4,5,4,3,2,10,20,15,17,2,4,13,1,1,0,1,1,1,301,671,50,299,300,384,33,49,117,1,983,1,199,0,1,1,1,4,3,2,10,20,15,3,0,10,5
"0rcwbtsy","218jeqxc",1,61,1416,4,6,3,4,0,16,11,1,9,2,4,13,1,1,0,0,1,1,251,719,99,483,384,567,0,117,0,1,1434,0.333333333333333,117,0,0,1,1,3,4,0,0,11,0,3,0,11,6
"0rcwbtsy","218jeqxc",1,62,1416,2,7,3,4,4,12,2,17,12,2,4,13,1,0,0,0,1,2,350,667,51,400,383,401,0,0,0,1,1184,0,0,0,0,1,2,3,4,4,0,0,0,3,0,12,7
"0rcwbtsy","218jeqxc",1,63,1416,2,8,4,4,3,3,13,18,9,2,4,13,1,0,0,0,1,2,702,585,82,551,400,351,35,0,17,1,1302,0.666666666666667,52,0,0,1,2,4,4,3,3,0,18,3,0,13,8
"0rcwbtsy","218jeqxc",1,64,1416,4,9,3,4,4,19,4,14,15,2,4,13,1,1,0,0,1,2,400,601,67,0,0,0,33,0,0,0,0,0.333333333333333,33,0,0,0,0,0,0,0,19,0,0,3,0,14,9
"0rcwbtsy","218jeqxc",1,65,1416,4,10,3,3,4,5,20,15,10,2,4,13,1,1,0,0,2,1,450,817,185,551,480,468,0,0,0,1,1499,0,0,0,0,2,1,3,3,4,0,0,0,3,0,15,10
"0rcwbtsy","218jeqxc",1,66,1416,1,11,0,4,3,1,16,6,3,2,4,13,1,0,0,0,1,1,850,601,50,384,685,451,133,51,0,1,1520,0.666666666666667,184,0,0,1,1,0,4,3,1,16,0,3,0,16,11
"0rcwbtsy","218jeqxc",1,67,1416,4,12,4,3,4,2,17,7,21,2,4,13,1,1,0,0,1,2,835,817,704,618,419,517,51,33,0,1,1554,0.666666666666667,84,0,0,1,2,4,3,4,2,17,0,3,0,17,12
"0rcwbtsy","218jeqxc",1,68,1416,4,13,4,2,3,8,3,18,16,2,4,13,1,1,0,1,1,1,451,584,67,0,0,0,51,0,0,0,0,0.333333333333333,51,0,0,0,0,0,0,0,8,0,0,3,0,18,13
"0rcwbtsy","218jeqxc",1,69,1416,4,14,4,4,1,9,19,4,18,2,4,13,1,1,1,0,0,2,384,585,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,19,14
"0rcwbtsy","218jeqxc",1,70,1416,4,15,4,4,2,10,5,20,13,2,4,13,1,1,0,1,0,2,383,751,67,0,0,0,66,0,0,0,0,0.333333333333333,66,0,0,0,0,0,0,0,10,0,0,3,0,20,15
"0rcwbtsy","218jeqxc",1,71,1416,2,16,0,2,4,1,6,11,6,2,4,13,1,0,0,1,0,1,384,652,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,21,16
"0rcwbtsy","218jeqxc",1,72,1416,4,17,2,4,4,7,2,12,8,2,4,13,1,1,0,1,0,2,518,836,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,22,17
"0rcwbtsy","218jeqxc",1,73,1416,4,18,4,2,1,3,13,8,14,2,4,13,1,1,1,1,0,1,385,718,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,23,18
"0rcwbtsy","218jeqxc",1,74,1416,4,19,2,4,3,4,14,9,9,2,4,13,1,1,0,1,1,1,449,551,199,0,0,0,68,0,0,0,0,0.333333333333333,68,0,0,0,0,0,0,0,4,0,0,3,0,24,19
"0rcwbtsy","218jeqxc",1,75,1416,4,20,1,4,4,10,5,15,11,2,4,13,1,1,1,0,0,2,467,751,151,0,0,0,16,0,0,0,0,0.333333333333333,16,0,0,0,0,0,0,0,10,0,0,3,0,25,20
"0rcwbtsy","218jeqxc",1,76,1416,3,1,2,2,3,6,16,11,13,1,1,15,0,0,0,2,1,0,551,1034,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1
